pc_idx,level,iteration,residuals
0,0,0,29.6804
0,0,1,78.7078
0,0,2,42.3525
0,0,3,24.9268
0,0,4,15.9398
0,0,5,10.8774
0,0,6,7.7486
0,0,7,5.68744
0,0,8,4.27643
0,0,9,3.26056
0,0,10,2.52039
0,0,11,1.96088
0,0,12,1.53931
0,0,13,1.22736
0,0,14,0.978394
0,0,15,0.786072
0,0,16,0.639648
0,0,17,0.513977
0,0,18,0.412537
0,0,19,0.341736
0,1,0,78.6917
0,1,1,-58.8148
0,1,2,-48.0793
0,1,3,-31.517
0,1,4,-20.1115
0,1,5,-13.3336
0,1,6,-9.26416
0,1,7,-6.69415
0,1,8,-5.00287
0,1,9,-3.80243
0,1,10,-2.93817
0,1,11,-2.28333
0,1,12,-1.77661
0,1,13,-1.40875
0,1,14,-1.11475
0,1,15,-0.873596
0,1,16,-0.70813
0,1,17,-0.565796
0,1,18,-0.443481
0,1,19,-0.365234
0,2,0,-22.4736
0,2,1,-5.29291
0,2,2,5.71277
0,2,3,9.26355
0,2,4,7.37109
0,2,5,4.99396
0,2,6,3.34137
0,2,7,2.31842
0,2,8,1.68829
0,2,9,1.27527
0,2,10,0.985596
0,2,11,0.76532
0,2,12,0.603943
0,2,13,0.474976
0,2,14,0.378845
0,2,15,0.297424
0,2,16,0.235291
0,2,17,0.191956
0,2,18,0.145325
0,2,19,0.119751
0,3,0,2.88959
0,3,1,-4.70662
0,3,2,3.14975
0,3,3,1.04282
0,3,4,-0.438873
0,3,5,-0.682266
0,3,6,-0.542404
0,3,7,-0.383667
0,3,8,-0.281921
0,3,9,-0.218811
0,3,10,-0.181229
0,3,11,-0.1539
0,3,12,-0.13382
0,3,13,-0.116684
0,3,14,-0.103226
0,3,15,-0.0920715
0,3,16,-0.0818787
0,3,17,-0.0736542
0,3,18,-0.0666046
0,3,19,-0.0591431
0,4,0,0.588882
0,4,1,3.10955
0,4,2,3.78555
0,4,3,1.80283
0,4,4,0.789307
0,4,5,0.430603
0,4,6,0.279633
0,4,7,0.188568
0,4,8,0.125275
0,4,9,0.0832214
0,4,10,0.0540466
0,4,11,0.0372925
0,4,12,0.0254517
0,4,13,0.0195312
0,4,14,0.0170898
0,4,15,0.015686
0,4,16,0.0143738
0,4,17,0.0140076
0,4,18,0.0154419
0,4,19,0.0153809
0,5,0,4.73608
0,5,1,-15.4062
0,5,2,-20.0917
0,5,3,-20.3339
0,5,4,-18.0389
0,5,5,-14.9511
0,5,6,-11.9464
0,5,7,-9.33305
0,5,8,-7.17694
0,5,9,-5.45257
0,5,10,-4.10207
0,5,11,-3.06115
0,5,12,-2.26868
0,5,13,-1.67103
0,5,14,-1.22408
0,5,15,-0.892373
0,5,16,-0.647649
0,5,17,-0.46775
