pc_idx,level,iteration,residuals
0,0,0,30.1056
0,0,1,78.017
0,0,2,42.8563
0,0,3,24.9286
0,0,4,15.872
0,0,5,10.7983
0,0,6,7.69299
0,0,7,5.6568
0,0,8,4.25037
0,0,9,3.23712
0,0,10,2.5188
0,0,11,1.95178
0,0,12,1.53973
0,0,13,1.22876
0,0,14,0.98291
0,0,15,0.787964
0,0,16,0.642456
0,0,17,0.517822
0,0,18,0.418701
0,0,19,0.34491
0,1,0,78.4267
0,1,1,-57.8218
0,1,2,-48.6209
0,1,3,-31.748
0,1,4,-20.2559
0,1,5,-13.3643
0,1,6,-9.23914
0,1,7,-6.65277
0,1,8,-4.94513
0,1,9,-3.72467
0,1,10,-2.89319
0,1,11,-2.23755
0,1,12,-1.75287
0,1,13,-1.38782
0,1,14,-1.10852
0,1,15,-0.869629
0,1,16,-0.711548
0,1,17,-0.571655
0,1,18,-0.458618
0,1,19,-0.375305
0,2,0,-22.2543
0,2,1,-5.42035
0,2,2,5.42334
0,2,3,9.18616
0,2,4,7.47473
0,2,5,5.11835
0,2,6,3.42328
0,2,7,2.35455
0,2,8,1.69684
0,2,9,1.25433
0,2,10,0.954163
0,2,11,0.735962
0,2,12,0.579773
0,2,13,0.452209
0,2,14,0.365845
0,2,15,0.287048
0,2,16,0.230225
0,2,17,0.185791
0,2,18,0.151001
0,2,19,0.122864
0,3,0,3.02606
0,3,1,-4.89896
0,3,2,3.08772
0,3,3,1.16005
0,3,4,-0.372665
0,3,5,-0.676239
0,3,6,-0.558853
0,3,7,-0.40271
0,3,8,-0.291565
0,3,9,-0.224014
0,3,10,-0.179535
0,3,11,-0.150009
0,3,12,-0.127747
0,3,13,-0.112946
0,3,14,-0.0988159
0,3,15,-0.0895996
0,3,16,-0.0794373
0,3,17,-0.0714111
0,3,18,-0.0667877
0,3,19,-0.0599823
0,4,0,0.705994
0,4,1,2.9287
0,4,2,3.82159
0,4,3,1.85614
0,4,4,0.811188
0,4,5,0.433777
0,4,6,0.278625
0,4,7,0.18689
0,4,8,0.123352
0,4,9,0.0795288
0,4,10,0.0502014
0,4,11,0.03125
0,4,12,0.020752
0,4,13,0.0134583
0,4,14,0.0106506
0,4,15,0.00888062
0,4,16,0.00939941
0,4,17,0.00958252
0,4,18,0.0113525
0,4,19,0.013031
0,5,0,4.81433
0,5,1,-15.5106
0,5,2,-20.0704
0,5,3,-20.3116
0,5,4,-18.039
0,5,5,-14.9614
0,5,6,-11.9571
0,5,7,-9.34121
0,5,8,-7.1827
0,5,9,-5.45637
0,5,10,-4.10425
0,5,11,-3.06235
0,5,12,-2.26863
0,5,13,-1.67062
0,5,14,-1.22312
0,5,15,-0.891122
0,5,16,-0.645847
0,5,17,-0.465922
0,5,18,-0.334454
0,5,19,-0.238896
1,0,0,-1646.58
1,0,1,1206.44
1,0,2,6.54224
1,0,3,-3.45459
1,0,4,-6.75635
1,0,5,-7.51636
1,0,6,-7.20398
1,0,7,-6.55334
1,0,8,-5.85828
1,0,9,-5.22119
1,0,10,-4.67554
1,0,11,-4.22046
1,0,12,-3.8512
1,0,13,-3.53357
1,0,14,-3.27039
1,0,15,-3.05554
1,0,16,-2.86584
1,0,17,-2.71118
1,0,18,-2.57153
1,0,19,-2.45288
1,1,0,1297.39
1,1,1,-1217.31
1,1,2,-16.0049
1,1,3,-2.91577
1,1,4,-1.20923
1,1,5,0.394165
1,1,6,1.33728
1,1,7,1.68579
1,1,8,1.68188
1,1,9,1.51465
1,1,10,1.29248
1,1,11,1.08081
1,1,12,0.905518
1,1,13,0.773438
1,1,14,0.67334
1,1,15,0.611816
1,1,16,0.570068
1,1,17,0.547974
1,1,18,0.541016
1,1,19,0.543945
1,2,0,-21.0394
1,2,1,68.281
1,2,2,18.3423
1,2,3,-0.863037
1,2,4,-1.63208
1,2,5,-1.28882
1,2,6,-1.10376
1,2,7,-0.977539
1,2,8,-0.843018
1,2,9,-0.672607
1,2,10,-0.489746
1,2,11,-0.321777
1,2,12,-0.176758
1,2,13,-0.0578613
1,2,14,0.0317383
1,2,15,0.0981445
1,2,16,0.142334
1,2,17,0.169922
1,2,18,0.186035
1,2,19,0.192139
1,3,0,59.4291
1,3,1,-44.2209
1,3,2,-28.7144
1,3,3,-15.6519
1,3,4,-9.88867
1,3,5,-7.90503
1,3,6,-7.11499
1,3,7,-6.66553
1,3,8,-6.2959
1,3,9,-5.94263
1,3,10,-5.60107
1,3,11,-5.26172
1,3,12,-4.92847
1,3,13,-4.6084
1,3,14,-4.29785
1,3,15,-4.00244
1,3,16,-3.72266
1,3,17,-3.45703
1,3,18,-3.20239
1,3,19,-2.96948
1,4,0,1.4248
1,4,1,-28.5356
1,4,2,-12.5103
1,4,3,-4.84552
1,4,4,-2.58102
1,4,5,-1.93777
1,4,6,-1.45648
1,4,7,-0.88208
1,4,8,-0.251343
1,4,9,0.361603
1,4,10,0.911316
1,4,11,1.38058
1,4,12,1.76422
1,4,13,2.0687
1,4,14,2.30194
1,4,15,2.47256
1,4,16,2.591
1,4,17,2.66309
1,4,18,2.69827
1,4,19,2.70181
1,5,0,-12.5919
1,5,1,-32.1473
1,5,2,-25.6522
1,5,3,-20.7716
1,5,4,-17.2792
1,5,5,-14.1633
1,5,6,-11.2278
1,5,7,-8.60815
